id,price,surface,bedrooms,restrooms,location_name,Terraza,Ascensor,Piscina,Calefacción
8617,400,76,2,1,A Coruña,0,0,0,0
8618,680,70,2,2,A Coruña,0,1,0,0
8620,575,80,2,1,A Coruña,0,1,0,0
8621,750,101,4,3,A Coruña,1,0,0,1
8622,720,105,4,2,A Coruña,0,1,0,0
8623,650,79,2,1,A Coruña,0,1,0,0
8625,580,90,4,1,A Coruña,0,1,0,0
8626,950,120,2,2,A Coruña,0,1,0,0
8629,600,82,3,2,A Coruña,0,1,0,0
8630,460,65,2,1,A Coruña,0,1,0,0
8631,350,62,2,1,A Coruña,0,0,0,0
8633,600,90,3,1,A Coruña,0,1,0,1
8634,525,55,1,1,A Coruña,1,1,0,0
8635,850,70,2,2,A Coruña,0,1,0,0
8638,700,73,3,1,A Coruña,0,1,0,0
8640,950,100,2,2,A Coruña,0,0,0,1
8644,1250,140,3,3,A Coruña,0,1,0,1
8645,550,70,2,2,A Coruña,0,0,0,0
8646,600,53,1,1,A Coruña,0,0,0,0
8650,750,95,3,2,A Coruña,0,1,0,1
8651,600,80,3,1,A Coruña,0,1,0,1
8652,525,55,1,1,A Coruña,1,1,0,0
8653,600,88,3,2,A Coruña,0,0,0,1
8657,520,67,1,1,A Coruña,0,1,0,1
8658,800,66,3,1,A Coruña,0,0,0,0
8659,800,85,3,1,A Coruña,0,0,0,1
8660,350,52,1,1,A Coruña,0,0,0,0
8662,570,50,2,1,A Coruña,0,1,0,0
8668,2050,156,4,4,A Coruña,0,1,0,0
8670,1240,100,3,2,A Coruña,0,1,0,0
8672,500,90,3,1,A Coruña,0,1,0,1
8673,690,140,4,2,A Coruña,0,1,0,0
8674,700,100,4,2,A Coruña,0,1,0,0
8675,600,60,2,1,A Coruña,0,0,0,1
8676,550,53,2,1,A Coruña,0,1,0,1
8678,550,50,1,1,A Coruña,0,1,0,1
8679,770,110,3,2,A Coruña,0,1,0,0
8681,500,67,1,1,A Coruña,0,0,0,1
8683,700,110,3,2,A Coruña,0,1,0,0
8684,390,76,2,1,A Coruña,0,0,0,0
8685,790,110,3,2,A Coruña,0,0,0,1
8687,600,80,3,1,A Coruña,0,1,0,1
8689,800,125,4,2,A Coruña,1,0,0,0
8690,500,87,3,1,A Coruña,0,1,0,1
8691,700,85,4,2,A Coruña,0,1,0,0
8692,590,65,2,1,A Coruña,0,1,0,0
8693,400,74,2,1,A Coruña,0,0,0,0
8695,550,70,2,1,A Coruña,0,1,0,0
8696,750,117,3,2,A Coruña,0,1,0,0
8697,1450,120,3,2,A Coruña,0,1,0,0
8698,450,86,3,1,A Coruña,0,1,0,0
8699,750,137,5,2,A Coruña,1,1,0,0
8700,850,90,3,2,A Coruña,0,1,0,0
8701,660,120,3,2,A Coruña,0,1,0,0
8702,600,59,1,1,A Coruña,0,0,0,0
8703,575,83,2,1,A Coruña,0,1,0,0
